,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,BAYC,Mouth,bored unshaven dagger,28,0.0028,2.0,0.0028,2,0.19642857142857142,0.04523478471699652,1.5399999999999999e-06
1,BAYC,Mouth,bored,2272,0.2272,33.0,0.2272,168,0.19642857142857142,0.04523478471699652,0.01013961142857143
2,BAYC,Mouth,phoneme vuh,333,0.0333,27.0,0.0333,116,0.19642857142857142,0.04523478471699652,0.0002178176785714286
3,BAYC,Mouth,bored unshaven,1551,0.1551,32.0,0.1551,166,0.19642857142857142,0.04523478471699652,0.004725287678571427
4,BAYC,Mouth,grin,713,0.0713,31.0,0.0713,149,0.19642857142857142,0.04523478471699652,0.0009985819642857143
5,BAYC,Mouth,bored pipe,132,0.0132,17.0,0.0132,42,0.19642857142857142,0.04523478471699652,3.422571428571428e-05
6,BAYC,Mouth,bored bubblegum,119,0.0119,15.0,0.0119,36,0.19642857142857142,0.04523478471699652,2.7816250000000003e-05
7,BAYC,Mouth,bored unshaven pizza,26,0.0026,1.0,0.0026,1,0.19642857142857142,0.04523478471699652,1.3278571428571427e-06
8,BAYC,Mouth,bored unshaven bubblegum,65,0.0065,7.0,0.0065,12,0.19642857142857142,0.04523478471699652,8.299107142857142e-06
9,BAYC,Mouth,bored dagger,49,0.0049,4.0,0.0049,7,0.19642857142857142,0.04523478471699652,4.71625e-06
10,BAYC,Mouth,bored unshaven party horn,45,0.0045,3.0,0.0045,4,0.19642857142857142,0.04523478471699652,3.977678571428571e-06
11,BAYC,Mouth,bored unshaven cigar,94,0.0094,12.0,0.0094,24,0.19642857142857142,0.04523478471699652,1.735642857142857e-05
12,BAYC,Mouth,bored cigarette,710,0.071,30.0,0.071,147,0.19642857142857142,0.04523478471699652,0.0009901964285714284
13,BAYC,Mouth,grin multicolored,116,0.0116,14.0,0.0116,33,0.19642857142857142,0.04523478471699652,2.6431428571428568e-05
14,BAYC,Mouth,bored unshaven cigarette,438,0.0438,28.0,0.0438,132,0.19642857142857142,0.04523478471699652,0.0003768364285714286
15,BAYC,Mouth,bored party horn,88,0.0088,10.0,0.0088,21,0.19642857142857142,0.04523478471699652,1.5211428571428572e-05
16,BAYC,Mouth,grin gold grill,91,0.0091,11.0,0.0091,23,0.19642857142857142,0.04523478471699652,1.626625e-05
17,BAYC,Mouth,phoneme l,241,0.0241,22.0,0.0241,95,0.19642857142857142,0.04523478471699652,0.00011408767857142856
18,BAYC,Mouth,jovial,296,0.0296,26.0,0.0296,109,0.19642857142857142,0.04523478471699652,0.00017210285714285717
19,BAYC,Mouth,discomfort,208,0.0208,20.0,0.0208,73,0.19642857142857142,0.04523478471699652,8.498285714285713e-05
20,BAYC,Mouth,phoneme oh,237,0.0237,21.0,0.0237,93,0.19642857142857142,0.04523478471699652,0.00011033196428571428
21,BAYC,Mouth,bored unshaven pipe,101,0.0101,13.0,0.0101,26,0.19642857142857142,0.04523478471699652,2.003767857142857e-05
22,BAYC,Mouth,tongue out,202,0.0202,19.0,0.0202,69,0.19642857142857142,0.04523478471699652,8.015071428571429e-05
23,BAYC,Mouth,grin diamond grill,78,0.0078,9.0,0.0078,19,0.19642857142857142,0.04523478471699652,1.1950714285714285e-05
