,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,COOL,face,sunglasses cowboy,222,0.02234974327997584,14.0,0.02234974327997584,203,0.21825396825396826,0.009808680185853827,0.00010902026332319598
1,COOL,face,tvface bobross,21,0.0021141649048625794,4.0,0.0021141649048625794,30,0.21825396825396826,0.009808680185853827,9.75528287588861e-07
2,COOL,face,ninja red,230,0.0231551394342092,18.0,0.0231551394342092,214,0.21825396825396826,0.009808680185853827,0.00011701915286496767
3,COOL,face,ninja black,221,0.02224906876069667,13.0,0.02224906876069667,201,0.21825396825396826,0.009808680185853827,0.00010804031087103756
4,COOL,face,lucky,1,0.00010067451927917044,1.0,0.00010067451927917044,22,0.21825396825396826,0.009808680185853827,2.212082284781997e-09
5,COOL,face,face face,213,0.021443672606463304,9.0,0.021443672606463304,190,0.21825396825396826,0.009808680185853827,0.00010035996117827443
6,COOL,face,sunglasses yellow,216,0.021745696164300814,11.0,0.021745696164300814,192,0.21825396825396826,0.009808680185853827,0.00010320691107878887
7,COOL,face,hearts,239,0.024061210107721737,24.0,0.024061210107721737,227,0.21825396825396826,0.009808680185853827,0.0001263563521890325
8,COOL,face,angel,1,0.00010067451927917044,1.0,0.00010067451927917044,18,0.21825396825396826,0.009808680185853827,2.212082284781997e-09
9,COOL,face,happy cute,214,0.021544347125742474,10.0,0.021544347125742474,191,0.21825396825396826,0.009808680185853827,0.00010130452031387635
10,COOL,face,upsidedown,1,0.00010067451927917044,1.0,0.00010067451927917044,16,0.21825396825396826,0.009808680185853827,2.212082284781997e-09
11,COOL,face,beard tan,208,0.020940300010067452,6.0,0.020940300010067452,183,0.21825396825396826,0.009808680185853827,9.570352796880835e-05
12,COOL,face,owo,243,0.02446390818483842,27.0,0.02446390818483842,231,0.21825396825396826,0.009808680185853827,0.00013062124683409218
13,COOL,face,sunglasses cool,209,0.021040974529346623,7.0,0.021040974529346623,185,0.21825396825396826,0.009808680185853827,9.662596628156243e-05
14,COOL,face,special zombie,1,0.00010067451927917044,1.0,0.00010067451927917044,12,0.21825396825396826,0.009808680185853827,2.212082284781997e-09
15,COOL,face,demon,1,0.00010067451927917044,1.0,0.00010067451927917044,11,0.21825396825396826,0.009808680185853827,2.212082284781997e-09
16,COOL,face,derp,243,0.02446390818483842,27.0,0.02446390818483842,233,0.21825396825396826,0.009808680185853827,0.00013062124683409218
17,COOL,face,beard pirate,260,0.026175375012584316,35.0,0.026175375012584316,242,0.21825396825396826,0.009808680185853827,0.00014953676245126304
18,COOL,face,glasses,235,0.023658512030605053,22.0,0.023658512030605053,223,0.21825396825396826,0.009808680185853827,0.0001221622441770858
