,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,PUNK,accessory,cap forward,254,0.009223283343621772,31.0,0.025402540254025403,39,0.9456521739130435,0.01046347097824685,0.00022156141193179526
1,PUNK,accessory,classic shades,502,0.018228693852354844,67.0,0.0502050205020502,79,0.9456521739130435,0.01046347097824685,0.0008654343426818176
2,PUNK,accessory,eye patch,461,0.016739896147282038,64.0,0.0461046104610461,76,0.9456521739130435,0.01046347097824685,0.0007298414784728915
3,PUNK,accessory,rosy cheeks,128,0.004647953810959004,12.0,0.012801280128012802,15,0.9456521739130435,0.01046347097824685,5.626607621505571e-05
4,PUNK,accessory,mohawk dark,429,0.015577907694542285,59.0,0.0429042904290429,70,0.9456521739130435,0.01046347097824685,0.0006320352131771891
5,PUNK,accessory,clown eyes blue,384,0.01394386143287701,55.0,0.03840384038403841,66,0.9456521739130435,0.01046347097824685,0.0005063946859355014
6,PUNK,accessory,gold chain,169,0.0061367515160318095,24.0,0.0169016901690169,32,0.9456521739130435,0.01046347097824685,9.808443620472449e-05
7,PUNK,accessory,pink with hat,95,0.0034496532190711354,9.0,0.009500950095009501,12,0.9456521739130435,0.01046347097824685,3.0993733999077006e-05
8,PUNK,accessory,peak spike,303,0.011002578161879516,49.0,0.030303030303030304,60,0.9456521739130435,0.01046347097824685,0.00031529127143725883
9,PUNK,accessory,shaved head,300,0.010893641744435165,48.0,0.030003000300030003,57,0.9456521739130435,0.01046347097824685,0.00030907878780243
10,PUNK,accessory,tassle hat,178,0.006463560768364864,26.0,0.0178017801780178,34,0.9456521739130435,0.01046347097824685,0.0001088094701414688
11,PUNK,accessory,horned rim glasses,535,0.01942699444424271,70.0,0.05350535053505351,82,0.9456521739130435,0.01046347097824685,0.0009829564004305616
12,PUNK,accessory,straight hair blonde,144,0.005228948037328879,16.0,0.0144014401440144,19,0.9456521739130435,0.01046347097824685,7.121175270967987e-05
13,PUNK,accessory,crazy hair,414,0.015033225607320528,57.0,0.041404140414041404,68,0.9456521739130435,0.01046347097824685,0.0005886096434909477
14,PUNK,accessory,handlebars,263,0.009550092595954828,36.0,0.026302630263026303,44,0.9456521739130435,0.01046347097824685,0.00023754078526118093
15,PUNK,accessory,blonde short,129,0.0046842659501071205,13.0,0.012901290129012902,16,0.9456521739130435,0.01046347097824685,5.714866786466931e-05
16,PUNK,accessory,eye mask,293,0.010639456770398344,46.0,0.029302930293029304,55,0.9456521739130435,0.01046347097824685,0.0002948233872672313
17,PUNK,accessory,wild white hair,136,0.0049384509241439415,14.0,0.013601360136013601,17,0.9456521739130435,0.01046347097824685,6.351912510215273e-05
18,PUNK,accessory,vampire hair,147,0.0053378844547732306,18.0,0.014701470147014702,22,0.9456521739130435,0.01046347097824685,7.420981695136344e-05
19,PUNK,accessory,frumpy hair,442,0.01604996550346781,61.0,0.0442044204420442,73,0.9456521739130435,0.01046347097824685,0.0006709207588914882
20,PUNK,accessory,buck teeth,78,0.002832346853553143,6.0,0.007800780078007801,8,0.9456521739130435,0.01046347097824685,2.089372605544427e-05
21,PUNK,accessory,nerd glasses,572,0.020770543592723047,71.0,0.05720572057205721,84,0.9456521739130435,0.01046347097824685,0.0011236181567594475
22,PUNK,accessory,normal beard,292,0.010603144631250228,45.0,0.029202920292029203,54,0.9456521739130435,0.01046347097824685,0.0002928143751465155
23,PUNK,accessory,front beard,273,0.009913213987436,40.0,0.027302730273027303,48,0.9456521739130435,0.01046347097824685,0.0002559481441791923
24,PUNK,accessory,shadow beard,526,0.019100185191909657,68.0,0.052605260526052605,80,0.9456521739130435,0.01046347097824685,0.0009501631410447237
25,PUNK,accessory,cigarette,961,0.03489596572134064,76.0,0.0961096109610961,89,0.9456521739130435,0.01046347097824685,0.003171563902112088
26,PUNK,accessory,big shades,535,0.01942699444424271,70.0,0.05350535053505351,83,0.9456521739130435,0.01046347097824685,0.0009829564004305616
27,PUNK,accessory,clown nose,212,0.00769817349940085,29.0,0.0212021202120212,37,0.9456521739130435,0.01046347097824685,0.0001543470782110268
28,PUNK,accessory,beanie,44,0.0015977341225171574,1.0,0.0044004400440044,3,0.9456521739130435,0.01046347097824685,6.6486281465056046e-06
29,PUNK,accessory,wild hair,447,0.016231526199208396,62.0,0.0447044704470447,74,0.9456521739130435,0.01046347097824685,0.0006861858168001749
30,PUNK,accessory,top hat,115,0.004175896002033479,10.0,0.011501150115011502,13,0.9456521739130435,0.01046347097824685,4.541741076319041e-05
31,PUNK,accessory,knitted cap,419,0.015214786303061114,58.0,0.041904190419041906,69,0.9456521739130435,0.01046347097824685,0.0006029131229486935
