,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,KONGZ,birthday,min,1618607943.0,0.4972224331517809,1.0,374677.76458333334,138,0.014388489208633094,0.002777566848219143,2680.5494928632397
1,KONGZ,birthday,max,1636691567.0,0.5027775668482192,2.0,378863.7886574074,139,0.014388489208633094,0.002777566848219143,2740.7800550801326
2,KONGZ,Genesis Trait,gold piercing,28.0,0.010252654705236177,12.0,0.006481481481481481,34,0.4460431654676259,0.008828604186167828,2.9640635105732088e-05
3,KONGZ,Genesis Trait,gold glasses,92.0,0.033687294031490296,45.0,0.021296296296296296,90,0.4460431654676259,0.008828604186167828,0.0003199978769578015
4,KONGZ,Genesis Trait,mole,76.0,0.027828634199926768,37.0,0.017592592592592594,78,0.4460431654676259,0.008828604186167828,0.00021837284230957722
5,KONGZ,Genesis Trait,3d glasses,27.0,0.009886488465763456,11.0,0.00625,31,0.4460431654676259,0.008828604186167828,2.7561253816426904e-05
6,KONGZ,Genesis Trait,sleepy eyes,26.0,0.009520322226290736,10.0,0.0060185185185185185,27,0.4460431654676259,0.008828604186167828,2.555748639218736e-05
7,KONGZ,Genesis Trait,ck cap,18.0,0.006590992310508971,5.0,0.004166666666666667,19,0.4460431654676259,0.008828604186167828,1.2249446140634179e-05
8,KONGZ,Genesis Trait,green sunglasses,29.0,0.010618820944708897,13.0,0.006712962962962963,36,0.4460431654676259,0.008828604186167828,3.179563026010292e-05
9,KONGZ,Genesis Trait,flat top,50.0,0.01830831197363603,26.0,0.011574074074074073,59,0.4460431654676259,0.008828604186167828,9.451733133205384e-05
10,KONGZ,Genesis Trait,viking helmet,4.0,0.0014646649578908824,2.0,0.000925925925925926,13,0.4460431654676259,0.008828604186167828,6.049109205251446e-07
11,KONGZ,Genesis Trait,grin,67.0,0.024533138044672283,33.0,0.015509259259259259,68,0.4460431654676259,0.008828604186167828,0.0001697153201398359
12,KONGZ,Genesis Trait,laughing,59.0,0.021603808128890515,31.0,0.013657407407407408,65,0.4460431654676259,0.008828604186167828,0.0001316059321467518
13,KONGZ,Genesis Trait,green bowtie,26.0,0.009520322226290736,10.0,0.0060185185185185185,29,0.4460431654676259,0.008828604186167828,2.555748639218736e-05
14,KONGZ,Genesis Trait,grey beanie,45.0,0.016477480776272427,23.0,0.010416666666666666,54,0.4460431654676259,0.008828604186167828,7.655903837896362e-05
15,KONGZ,Genesis Trait,mohawk,57.0,0.020871475649945074,30.0,0.013194444444444444,64,0.4460431654676259,0.008828604186167828,0.00012283472379913719
16,KONGZ,Genesis Trait,black sunglasses,90.0,0.032954961552544855,44.0,0.020833333333333332,88,0.4460431654676259,0.008828604186167828,0.0003062361535158545
17,KONGZ,Genesis Trait,orange beanie,52.0,0.01904064445258147,27.0,0.012037037037037037,60,0.4460431654676259,0.008828604186167828,0.00010222994556874944
18,KONGZ,Genesis Trait,afro,47.0,0.01720981325521787,24.0,0.01087962962962963,55,0.4460431654676259,0.008828604186167828,8.351551396500278e-05
19,KONGZ,Genesis Trait,banana hat,10.0,0.003661662394727206,3.0,0.0023148148148148147,15,0.4460431654676259,0.008828604186167828,3.780693253282154e-06
20,KONGZ,Genesis Trait,red bowtie,34.0,0.012449652142072502,16.0,0.00787037037037037,45,0.4460431654676259,0.008828604186167828,4.37048140079417e-05
21,KONGZ,Genesis Trait,brown tie,63.0,0.023068473086781397,32.0,0.014583333333333334,66,0.4460431654676259,0.008828604186167828,0.0001500557152227687
22,KONGZ,Genesis Trait,fangs,76.0,0.027828634199926768,37.0,0.017592592592592594,77,0.4460431654676259,0.008828604186167828,0.00021837284230957722
23,KONGZ,Genesis Trait,crossed eyes,26.0,0.009520322226290736,10.0,0.0060185185185185185,28,0.4460431654676259,0.008828604186167828,2.555748639218736e-05
24,KONGZ,Genesis Trait,stitched mouth,25.0,0.009154155986818015,9.0,0.005787037037037037,26,0.4460431654676259,0.008828604186167828,2.362933283301346e-05
25,KONGZ,Genesis Trait,laurel wreath,3.0,0.0010984987184181618,1.0,0.0006944444444444445,12,0.4460431654676259,0.008828604186167828,3.402623927953939e-07
26,KONGZ,Genesis Trait,silver piercing,44.0,0.016111314536799707,22.0,0.010185185185185186,53,0.4460431654676259,0.008828604186167828,7.31942213835425e-05
27,KONGZ,Genesis Trait,gold chain,30.0,0.010984987184181618,14.0,0.006944444444444444,38,0.4460431654676259,0.008828604186167828,3.402623927953938e-05
28,KONGZ,Genesis Trait,vr goggles,30.0,0.010984987184181618,14.0,0.006944444444444444,39,0.4460431654676259,0.008828604186167828,3.402623927953938e-05
29,KONGZ,Genesis Trait,tongue out,74.0,0.027096301720981326,36.0,0.01712962962962963,75,0.4460431654676259,0.008828604186167828,0.00020703076254973074
30,KONGZ,Genesis Trait,green tie,73.0,0.026730135481508606,35.0,0.016898148148148148,74,0.4460431654676259,0.008828604186167828,0.00020147314346740598
31,KONGZ,Genesis Trait,propeller hat,35.0,0.012815818381545222,17.0,0.008101851851851851,47,0.4460431654676259,0.008828604186167828,4.631349235270639e-05
32,KONGZ,Genesis Trait,headband,18.0,0.006590992310508971,5.0,0.004166666666666667,20,0.4460431654676259,0.008828604186167828,1.2249446140634179e-05
33,KONGZ,Genesis Trait,cigarette,30.0,0.010984987184181618,14.0,0.006944444444444444,40,0.4460431654676259,0.008828604186167828,3.402623927953938e-05
34,KONGZ,Genesis Trait,headphones,23.0,0.008421823507872574,7.0,0.005324074074074074,24,0.4460431654676259,0.008828604186167828,1.9999867309862593e-05
35,KONGZ,Genesis Trait,red sunglasses,31.0,0.011351153423654338,15.0,0.007175925925925926,42,0.4460431654676259,0.008828604186167828,3.63324621640415e-05
36,KONGZ,Genesis Trait,red tie,81.0,0.02965946539729037,41.0,0.01875,84,0.4460431654676259,0.008828604186167828,0.0002480512843478421
37,KONGZ,Genesis Trait,silver septum,34.0,0.012449652142072502,16.0,0.00787037037037037,44,0.4460431654676259,0.008828604186167828,4.37048140079417e-05
38,KONGZ,Genesis Trait,blue sunglasses,29.0,0.010618820944708897,13.0,0.006712962962962963,37,0.4460431654676259,0.008828604186167828,3.179563026010292e-05
39,KONGZ,Genesis Trait,gold sunglasses,42.0,0.015378982057854266,20.0,0.009722222222222222,51,0.4460431654676259,0.008828604186167828,6.66914289878972e-05
40,KONGZ,Genesis Trait,airpods,12.0,0.004393994873672647,4.0,0.002777777777777778,18,0.4460431654676259,0.008828604186167828,5.444198284726302e-06
41,KONGZ,Genesis Trait,purple bandana,53.0,0.019406810692054192,28.0,0.012268518518518519,61,0.4460431654676259,0.008828604186167828,0.0001061996734846957
42,KONGZ,Genesis Trait,black fur,41.0,0.015012815818381545,19.0,0.00949074074074074,50,0.4460431654676259,0.008828604186167828,6.3553453587673e-05
43,KONGZ,Genesis Trait,green beanie,35.0,0.012815818381545222,17.0,0.008101851851851851,46,0.4460431654676259,0.008828604186167828,4.631349235270639e-05
