,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,DEADFELLAZ,Nose,nose skull,2473,0.2473,7.0,0.24737421226367912,118,0.05925925925925926,0.09907913503861446,0.0036252232706849093
1,DEADFELLAZ,Nose,ring,1,0.0001,1.0,0.00010003000900270081,2,0.05925925925925926,0.09907913503861446,5.927704237197086e-10
2,DEADFELLAZ,Nose,nose normal,2052,0.2052,6.0,0.20526157847354207,117,0.05925925925925926,0.09907913503861446,0.0024959807942382716
3,DEADFELLAZ,Nose,nose ring,2004,0.2004,5.0,0.2004601380414124,116,0.05925925925925926,0.09907913503861446,0.0023805755059851286
4,DEADFELLAZ,Nose,normal,2,0.0002,2.0,0.00020006001800540162,6,0.05925925925925926,0.09907913503861446,2.3710816948788344e-09
5,DEADFELLAZ,Nose,skull,1,0.0001,1.0,0.00010003000900270081,4,0.05925925925925926,0.09907913503861446,5.927704237197086e-10
6,DEADFELLAZ,Nose,nose broken,1713,0.1713,3.0,0.1713514054216265,114,0.05925925925925926,0.09907913503861446,0.0017394071554799775
7,DEADFELLAZ,Nose,nose bleeding,1754,0.1754,4.0,0.17545263579073722,115,0.05925925925925926,0.09907913503861446,0.0018236676929004629
8,DEADFELLAZ,Head,mullet,326,0.0326,10.0,0.03260978293488046,61,0.2222222222222222,0.00193275853524323,0.00023623976081713397
9,DEADFELLAZ,Head,bowlcut,343,0.0343,17.0,0.03431029308792638,68,0.2222222222222222,0.00193275853524323,0.00026152067842574993
10,DEADFELLAZ,Head,side shave,364,0.0364,26.0,0.036410923276983094,79,0.2222222222222222,0.00193275853524323,0.0002945239127293744
11,DEADFELLAZ,Head,beret,330,0.033,11.0,0.03300990297089127,62,0.2222222222222222,0.00193275853524323,0.00024207262178653596
12,DEADFELLAZ,Head,box fade,347,0.0347,19.0,0.03471041312393718,71,0.2222222222222222,0.00193275853524323,0.0002676558523112489
13,DEADFELLAZ,Head,dreads,314,0.0314,6.0,0.031409422826848055,57,0.2222222222222222,0.00193275853524323,0.0002191679726140064
14,DEADFELLAZ,Head,space buns,346,0.0346,18.0,0.03461038311493448,70,0.2222222222222222,0.00193275853524323,0.0002661153901726073
15,DEADFELLAZ,Head,ramona,302,0.0302,1.0,0.030209062718815644,50,0.2222222222222222,0.00193275853524323,0.0002027363764684961
16,DEADFELLAZ,Head,golf cap,340,0.034,15.0,0.03401020306091827,66,0.2222222222222222,0.00193275853524323,0.00025696597868249367
