,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,⚇,Beard,biker mustache,129,0.02912621359223301,2.0,0.006450645064506451,894,0.0065420560747663555,0.1320357503040529,1.2291402445752244e-06
1,⚇,Beard,big,369,0.08331451794987582,4.0,0.01845184518451845,942,0.0065420560747663555,0.1320357503040529,1.0057145895174997e-05
2,⚇,Beard,muttonchops,156,0.035222397832467826,3.0,0.007800780078007801,905,0.0065420560747663555,0.1320357503040529,1.797509584278749e-06
3,⚇,Beard,medical mask,113,0.025513659968390157,1.0,0.005650565056505651,886,0.0065420560747663555,0.1320357503040529,9.43145951744549e-07
4,⚇,Beard,full,1449,0.32716188755926845,6.0,0.07245724572457246,1034,0.0065420560747663555,0.1320357503040529,0.00015508107004689534
5,⚇,Beard,stubble,1585,0.3578685933619327,7.0,0.07925792579257926,1036,0.0065420560747663555,0.1320357503040529,0.00018555837094693785
6,⚇,Beard,mustache,628,0.141792729735832,5.0,0.0314031403140314,967,0.0065420560747663555,0.1320357503040529,2.9130055057782295e-05
7,⚇,Tattoo Motif,"flcbbbbcl,flcbbbbcl",1,0.001006036217303823,1.0,5.000500050005001e-05,683,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
8,⚇,Tattoo Motif,"sddbcbb,sddbcbb",1,0.001006036217303823,1.0,5.000500050005001e-05,770,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
9,⚇,Tattoo Motif,"bblbffblb,bblbffblb",1,0.001006036217303823,1.0,5.000500050005001e-05,746,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
10,⚇,Tattoo Motif,xzgzzgz,1,0.001006036217303823,1.0,5.000500050005001e-05,739,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
11,⚇,Tattoo Motif,"lbcfbbclbd,lbcfbbclbd",1,0.001006036217303823,1.0,5.000500050005001e-05,424,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
12,⚇,Tattoo Motif,"bbdbdsbbcsbl,bbdbdsbbcsbl",1,0.001006036217303823,1.0,5.000500050005001e-05,567,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
13,⚇,Tattoo Motif,"flbbbbbbl,flbbbbbbl",1,0.001006036217303823,1.0,5.000500050005001e-05,595,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
14,⚇,Tattoo Motif,wwwxxwww,1,0.001006036217303823,1.0,5.000500050005001e-05,564,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
15,⚇,Tattoo Motif,"twwzzwwt,twwzzwwt",1,0.001006036217303823,1.0,5.000500050005001e-05,614,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
16,⚇,Tattoo Motif,"fbfccddccfbf,fbfccddccfbf",1,0.001006036217303823,1.0,5.000500050005001e-05,474,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
17,⚇,Tattoo Motif,tzxxzt,1,0.001006036217303823,1.0,5.000500050005001e-05,540,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
18,⚇,Tattoo Motif,"fbclcbbclcbf,fbclcbbclcbf",1,0.001006036217303823,1.0,5.000500050005001e-05,541,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
19,⚇,Tattoo Motif,"bsbddbs,bsbddbs",1,0.001006036217303823,1.0,5.000500050005001e-05,542,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
20,⚇,Tattoo Motif,"blsllslb,blsllslb",1,0.001006036217303823,1.0,5.000500050005001e-05,543,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
21,⚇,Tattoo Motif,"dbdlclscllbb,dbdlclscllbb",1,0.001006036217303823,1.0,5.000500050005001e-05,544,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
22,⚇,Tattoo Motif,"ldccd,ldccd",1,0.001006036217303823,1.0,5.000500050005001e-05,545,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
23,⚇,Tattoo Motif,"dccccd,dccccd",1,0.001006036217303823,1.0,5.000500050005001e-05,546,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
24,⚇,Tattoo Motif,"dflbbdlblc,dflbbdlblc",1,0.001006036217303823,1.0,5.000500050005001e-05,547,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
25,⚇,Tattoo Motif,"cdbbdc,cdbbdc",1,0.001006036217303823,1.0,5.000500050005001e-05,548,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
26,⚇,Tattoo Motif,"bsddlbblddsb,bsddlbblddsb",1,0.001006036217303823,1.0,5.000500050005001e-05,549,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
27,⚇,Tattoo Motif,"bfllfb,bfllfb",3,0.0030181086519114686,3.0,0.00015001500150015003,828,0.788785046728972,0.001117477852862667,3.5713155926059145e-07
28,⚇,Tattoo Motif,"dfbfsl,dfbfsl",1,0.001006036217303823,1.0,5.000500050005001e-05,550,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
29,⚇,Tattoo Motif,"dbfddfb,dbfddfb",1,0.001006036217303823,1.0,5.000500050005001e-05,551,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
30,⚇,Tattoo Motif,"cdbbcdsbbbb,cdbbcdsbbbb",1,0.001006036217303823,1.0,5.000500050005001e-05,552,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
31,⚇,Tattoo Motif,"flfllflf,flfllflf",1,0.001006036217303823,1.0,5.000500050005001e-05,553,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
32,⚇,Tattoo Motif,"lbccb,lbccb",1,0.001006036217303823,1.0,5.000500050005001e-05,554,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
33,⚇,Tattoo Motif,"blbd,blbd",1,0.001006036217303823,1.0,5.000500050005001e-05,555,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
34,⚇,Tattoo Motif,"fdfsllllblbb,fdfsllllblbb",1,0.001006036217303823,1.0,5.000500050005001e-05,556,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
35,⚇,Tattoo Motif,"cblbblb,cblbblb",1,0.001006036217303823,1.0,5.000500050005001e-05,557,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
36,⚇,Tattoo Motif,wggw,1,0.001006036217303823,1.0,5.000500050005001e-05,558,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
37,⚇,Tattoo Motif,"blsbsbbsbslb,blsbsbbsbslb",1,0.001006036217303823,1.0,5.000500050005001e-05,559,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
38,⚇,Tattoo Motif,"lfbbssssbbfl,lfbbssssbbfl",1,0.001006036217303823,1.0,5.000500050005001e-05,560,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
39,⚇,Tattoo Motif,"⋉⋉⋉⋊⋉⋊⋉⋊⋉⋉⋊⋉,⋉⋉⋉⋊⋉⋊⋉⋊⋉⋉⋊⋉",1,0.001006036217303823,1.0,5.000500050005001e-05,539,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
40,⚇,Tattoo Motif,"csbbbbbbs,csbbbbbbs",1,0.001006036217303823,1.0,5.000500050005001e-05,561,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
41,⚇,Tattoo Motif,"bddcbbbbcddb,bddcbbbbcddb",1,0.001006036217303823,1.0,5.000500050005001e-05,538,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
42,⚇,Tattoo Motif,"bffbbffbbffb,bffbbffbbffb",1,0.001006036217303823,1.0,5.000500050005001e-05,536,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
43,⚇,Tattoo Motif,"bffbbffb,bffbbffb",1,0.001006036217303823,1.0,5.000500050005001e-05,515,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
44,⚇,Tattoo Motif,"lccfbc,lccfbc",1,0.001006036217303823,1.0,5.000500050005001e-05,516,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
45,⚇,Tattoo Motif,"wvgxxgvw,wvgxxgvw",1,0.001006036217303823,1.0,5.000500050005001e-05,517,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
46,⚇,Tattoo Motif,tggt,1,0.001006036217303823,1.0,5.000500050005001e-05,518,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
47,⚇,Tattoo Motif,"sclsbbbbslcs,sclsbbbbslcs",1,0.001006036217303823,1.0,5.000500050005001e-05,519,0.788785046728972,0.001117477852862667,3.9681284362287944e-08
