,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,MAYC,Fur,m2 golden brown,297,0.017946703728321953,19.0,0.017940199335548173,248,0.11014492753623188,0.025320863247436164,3.546308060139308e-05
1,MAYC,Fur,m2 gray,193,0.011662336092815275,12.0,0.011658109332527937,197,0.11014492753623188,0.025320863247436164,1.4975391278909077e-05
2,MAYC,Fur,m1 trippy,114,0.006888633754305396,5.0,0.006886137118695258,135,0.11014492753623188,0.025320863247436164,5.224843218897216e-06
3,MAYC,Fur,m1 tan,750,0.045319958909903924,31.0,0.0453035336756267,321,0.11014492753623188,0.025320863247436164,0.00022614452990379221
4,MAYC,Fur,m2 solid gold,44,0.0026587709227143632,1.0,0.0026578073089701,31,0.11014492753623188,0.025320863247436164,7.783392175888742e-07
5,MAYC,Fur,m2 pink,190,0.011481056257175661,11.0,0.01147689519782543,194,0.11014492753623188,0.025320863247436164,1.4513453385825599e-05
6,MAYC,Fur,m1 zombie,401,0.02423107136382863,21.0,0.024222289338568407,276,0.11014492753623188,0.025320863247436164,6.464758498321724e-05
7,MAYC,Fur,m2 black,438,0.02646685600338389,22.0,0.02645726366656599,285,0.11014492753623188,0.025320863247436164,7.712794879086777e-05
8,MAYC,Fur,m2 cream,227,0.01371684089673092,15.0,0.013711869525823013,215,0.11014492753623188,0.025320863247436164,2.0716447078066682e-05
9,MAYC,Fur,m2 red,185,0.011178923197776301,10.0,0.01117487163998792,190,0.11014492753623188,0.025320863247436164,1.3759638286146293e-05
10,MAYC,Fur,m1 cream,794,0.047978729832618285,32.0,0.0479613409845968,322,0.11014492753623188,0.025320863247436164,0.00025345716063009273
11,MAYC,Fur,m2 tan,232,0.01401897395613028,16.0,0.014013893083660526,218,0.11014492753623188,0.025320863247436164,2.1639116760074158e-05
12,MAYC,Fur,m1 brown,1692,0.10224182730074324,35.0,0.10220477197221384,341,0.11014492753623188,0.025320863247436164,0.001150970726148427
13,MAYC,Fur,m2 robot,129,0.007795032932503475,7.0,0.007792207792207792,151,0.11014492753623188,0.025320863247436164,6.6902597726737905e-06
14,MAYC,Fur,m2 blue,194,0.011722762704695147,13.0,0.01171851404409544,200,0.11014492753623188,0.025320863247436164,1.5130978715482887e-05
15,MAYC,Fur,m2 zombie,108,0.006526074083026165,4.0,0.0065237088492902445,129,0.11014492753623188,0.025320863247436164,4.689332972085035e-06
16,MAYC,Fur,m2 dark brown,508,0.030696718834974924,25.0,0.03068559347629115,300,0.11014492753623188,0.025320863247436164,0.00010375068793794176
17,MAYC,Fur,m2 death bot,92,0.0055592482929482144,3.0,0.005557233464210208,110,0.11014492753623188,0.025320863247436164,3.402821868632351e-06
18,MAYC,Fur,m1 pink,630,0.0380687654843193,29.0,0.03805496828752643,314,0.11014492753623188,0.025320863247436164,0.00015956758030011582
19,MAYC,Fur,m1 white,475,0.02870264064293915,23.0,0.028692237994563576,289,0.11014492753623188,0.025320863247436164,9.070908366141001e-05
20,MAYC,Fur,m1 robot,357,0.021572300441114266,20.0,0.02156448202959831,270,0.11014492753623188,0.025320863247436164,5.123892300748163e-05
21,MAYC,Fur,m1 death bot,243,0.01468366668680887,17.0,0.01467834491090305,221,0.11014492753623188,0.025320863247436164,2.373974817118049e-05
22,MAYC,Fur,m2 trippy,71,0.004290289443470904,2.0,0.004288734521292661,73,0.11014492753623188,0.025320863247436164,2.026657022657807e-06
23,MAYC,Fur,m1 cheetah,516,0.0311801317300139,26.0,0.03116883116883117,303,0.11014492753623188,0.025320863247436164,0.00010704415636278065
24,MAYC,Fur,m1 golden brown,967,0.05843253368783612,33.0,0.05841135608577469,328,0.11014492753623188,0.025320863247436164,0.0003759382441301461
25,MAYC,Fur,m1 solid gold,71,0.004290289443470904,2.0,0.004288734521292661,72,0.11014492753623188,0.025320863247436164,2.026657022657807e-06
26,MAYC,Fur,m1 gray,649,0.03921687111003686,30.0,0.03920265780730897,316,0.11014492753623188,0.025320863247436164,0.00016933742602667946
27,MAYC,Fur,m2 noise,114,0.006888633754305396,5.0,0.006886137118695258,136,0.11014492753623188,0.025320863247436164,5.224843218897216e-06
28,MAYC,Fur,m1 black,1520,0.09184845005740529,34.0,0.09181516158260344,334,0.11014492753623188,0.025320863247436164,0.0009288610166928383
29,MAYC,Fur,m2 dmt,125,0.007553326484983987,6.0,0.007550588945937783,147,0.11014492753623188,0.025320863247436164,6.281792497327562e-06
30,MAYC,Fur,m2 brown,486,0.02936733337361774,24.0,0.0293566898218061,291,0.11014492753623188,0.025320863247436164,9.495899268472196e-05
31,MAYC,Fur,m2 white,174,0.01051423046709771,9.0,0.010510419812745394,183,0.11014492753623188,0.025320863247436164,1.2172003177541712e-05
32,MAYC,Fur,m1 dark brown,1703,0.10290652003142184,36.0,0.10286922379945636,342,0.11014492753623188,0.025320863247436164,0.0011659847127604398
33,MAYC,Fur,m1 dmt,282,0.017040304550123876,18.0,0.017034128662035637,240,0.11014492753623188,0.025320863247436164,3.197140905967853e-05
34,MAYC,Fur,m1 red,615,0.037162366306121214,28.0,0.037148897614013895,313,0.11014492753623188,0.025320863247436164,0.0001520595819073099
35,MAYC,Fur,m1 noise,204,0.012327028823493867,14.0,0.012322561159770462,206,0.11014492753623188,0.025320863247436164,1.6731076900402166e-05
36,MAYC,Fur,m1 blue,589,0.03559127439724455,27.0,0.035578375113258835,309,0.11014492753623188,0.025320863247436164,0.00013947428703778403
37,MAYC,Fur,m2 cheetah,170,0.010272524019578223,8.0,0.010268800966475386,182,0.11014492753623188,0.025320863247436164,1.161880340305706e-05
38,MAYC,Background,m1 gray,1509,0.09118375732672669,9.0,0.09115070975536092,332,0.0463768115942029,0.03256076163502162,0.0003854592092054135
