,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,NEOTI,Credits,min,290,0.16580903373356204,1.0,0.14370664023785926,77,0.023255813953488372,0.33419096626643796,0.0005541362595101411
1,NEOTI,Credits,max,1459,0.834190966266438,2.0,0.7229930624380575,83,0.023255813953488372,0.33419096626643796,0.014025913519979866
2,NEOTI,Intelligence,min,10,0.09174311926605505,1.0,0.004955401387512388,9,0.023255813953488372,0.40825688073394495,1.0572650709435436e-05
3,NEOTI,Intelligence,max,99,0.908256880733945,2.0,0.04905847373637265,53,0.023255813953488372,0.40825688073394495,0.001036225496031767
4,NEOTI,Tech Skill,min,10,0.09174311926605505,1.0,0.004955401387512388,4,0.023255813953488372,0.40825688073394495,1.0572650709435436e-05
5,NEOTI,Tech Skill,max,99,0.908256880733945,2.0,0.04905847373637265,55,0.023255813953488372,0.40825688073394495,0.001036225496031767
6,NEOTI,Attractiveness,min,10,0.09174311926605505,1.0,0.004955401387512388,5,0.023255813953488372,0.40825688073394495,1.0572650709435436e-05
7,NEOTI,Attractiveness,max,99,0.908256880733945,2.0,0.04905847373637265,56,0.023255813953488372,0.40825688073394495,0.001036225496031767
8,NEOTI,Strength,min,10,0.09174311926605505,1.0,0.004955401387512388,6,0.023255813953488372,0.40825688073394495,1.0572650709435436e-05
9,NEOTI,Strength,max,99,0.908256880733945,2.0,0.04905847373637265,51,0.023255813953488372,0.40825688073394495,0.001036225496031767
10,NEOTI,Cool,min,10,0.09174311926605505,1.0,0.004955401387512388,8,0.023255813953488372,0.40825688073394495,1.0572650709435436e-05
11,NEOTI,Cool,max,99,0.908256880733945,2.0,0.04905847373637265,54,0.023255813953488372,0.40825688073394495,0.001036225496031767
12,NEOTI,Race,albino,99,0.04905847373637265,5.0,0.04905847373637265,52,0.10465116279069768,0.17669259095813863,0.00025186749544280567
13,NEOTI,Race,android,307,0.15213082259663033,8.0,0.15213082259663033,78,0.10465116279069768,0.17669259095813863,0.0024220242401784497
14,NEOTI,Race,ape,118,0.05847373637264618,6.0,0.05847373637264618,59,0.10465116279069768,0.17669259095813863,0.00035782093730697125
15,NEOTI,Race,ghost,25,0.012388503468780971,3.0,0.012388503468780971,25,0.10465116279069768,0.17669259095813863,1.6061339113534692e-05
16,NEOTI,Race,phantom,6,0.002973240832507433,1.0,0.002973240832507433,2,0.10465116279069768,0.17669259095813863,9.251331329395981e-07
17,NEOTI,Race,aeon,16,0.007928642220019821,2.0,0.007928642220019821,13,0.10465116279069768,0.17669259095813863,6.57872450090381e-06
18,NEOTI,Race,mutant,227,0.11248761149653122,7.0,0.11248761149653122,76,0.10465116279069768,0.17669259095813863,0.0013241995890901268
19,NEOTI,Race,human,1194,0.5916749256689792,9.0,0.5916749256689792,82,0.10465116279069768,0.17669259095813863,0.03663619719754103
20,NEOTI,Race,demon,26,0.01288404360753221,4.0,0.01288404360753221,28,0.10465116279069768,0.17669259095813863,1.737194438519912e-05
21,NEOTI,Class,exectuive,22,0.010901883052527254,8.0,0.010901883052527254,21,0.38372093023255816,0.020298319337596085,4.56056370349113e-05
22,NEOTI,Class,club promoter,67,0.033201189296333006,18.0,0.033201189296333006,42,0.38372093023255816,0.020298319337596085,0.00042298286084652245
23,NEOTI,Class,developer,70,0.03468780971258672,19.0,0.03468780971258672,43,0.38372093023255816,0.020298319337596085,0.0004617099617170772
24,NEOTI,Class,chat support,139,0.0688800792864222,28.0,0.0688800792864222,65,0.38372093023255816,0.020298319337596085,0.0018205506470072757
25,NEOTI,Class,tech runner,71,0.03518334985133796,20.0,0.03518334985133796,45,0.38372093023255816,0.020298319337596085,0.0004749959014317932
26,NEOTI,Class,chef,55,0.027254707631318136,14.0,0.027254707631318136,37,0.38372093023255816,0.020298319337596085,0.0002850352314681957
27,NEOTI,Class,driver,136,0.06739345887016848,27.0,0.06739345887016848,64,0.38372093023255816,0.020298319337596085,0.0017428137656977675
28,NEOTI,Class,slayer,10,0.004955401387512388,2.0,0.004955401387512388,7,0.38372093023255816,0.020298319337596085,9.422652279940353e-06
29,NEOTI,Class,worker,111,0.055004955401387515,23.0,0.055004955401387515,57,0.38372093023255816,0.020298319337596085,0.0011609649874114508
30,NEOTI,Class,grunt,123,0.06095143706640238,26.0,0.06095143706640238,63,0.38372093023255816,0.020298319337596085,0.001425553063432176
31,NEOTI,Class,market whale,14,0.006937561942517344,4.0,0.006937561942517344,12,0.38372093023255816,0.020298319337596085,1.846839846868309e-05
32,NEOTI,Class,cook,117,0.05797819623389495,24.0,0.05797819623389495,58,0.38372093023255816,0.020298319337596085,0.001289866870601035
33,NEOTI,Class,nft artist,25,0.012388503468780971,9.0,0.012388503468780971,24,0.38372093023255816,0.020298319337596085,5.88915767496272e-05
34,NEOTI,Class,scavenger,50,0.024777006937561942,12.0,0.024777006937561942,35,0.38372093023255816,0.020298319337596085,0.0002355663069985088
35,NEOTI,Class,bartender,123,0.06095143706640238,26.0,0.06095143706640238,62,0.38372093023255816,0.020298319337596085,0.001425553063432176
36,NEOTI,Class,punk,62,0.030723488602576808,17.0,0.030723488602576808,41,0.38372093023255816,0.020298319337596085,0.0003622067536409071
