,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,SD,Mouth,meta duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,1,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
1,SD,Mouth,basic smile,911,0.09109089091090891,26.0,0.09109089091090891,215,0.16444444444444445,0.0326290446223056,0.0013644860669195333
2,SD,Mouth,sad face,669,0.0668933106689331,18.0,0.0668933106689331,196,0.16444444444444445,0.0326290446223056,0.0007358420242367323
3,SD,Mouth,picasso duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,37,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
4,SD,Mouth,fast frown,45,0.0044995500449955,7.0,0.0044995500449955,81,0.16444444444444445,0.0326290446223056,3.3293340998866815e-06
5,SD,Mouth,thinkin,727,0.07269273072692731,19.0,0.07269273072692731,200,0.16444444444444445,0.0326290446223056,0.0008689627765328434
6,SD,Mouth,bubblegum duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,40,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
7,SD,Mouth,bored,80,0.007999200079992,10.0,0.007999200079992,95,0.16444444444444445,0.0326290446223056,1.0522339871246794e-05
8,SD,Mouth,dog tongue,62,0.006199380061993801,8.0,0.006199380061993801,88,0.16444444444444445,0.0326290446223056,6.3199803851676074e-06
9,SD,Mouth,cheeky,71,0.007099290070992901,9.0,0.007099290070992901,93,0.16444444444444445,0.0326290446223056,8.287986764211735e-06
10,SD,Mouth,juicy lips,30,0.0029997000299970002,4.0,0.0029997000299970002,68,0.16444444444444445,0.0326290446223056,1.4797040443940809e-06
11,SD,Mouth,eff,579,0.057894210578942104,17.0,0.057894210578942104,188,0.16444444444444445,0.0326290446223056,0.0005511749594963512
12,SD,Mouth,spitter,25,0.0024997500249975004,2.0,0.0024997500249975004,63,0.16444444444444445,0.0326290446223056,1.0275722530514451e-06
13,SD,Mouth,lolly pop,41,0.0040995900409959,6.0,0.0040995900409959,79,0.16444444444444445,0.0326290446223056,2.7637583318071663e-06
14,SD,Mouth,colombo duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,46,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
15,SD,Mouth,bubble gum,757,0.0756924307569243,22.0,0.0756924307569243,204,0.16444444444444445,0.0326290446223056,0.0009421588032622039
16,SD,Mouth,money duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,50,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
17,SD,Mouth,woo,730,0.072992700729927,20.0,0.072992700729927,201,0.16444444444444445,0.0326290446223056,0.0008761492058417839
18,SD,Mouth,lost golden duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,55,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
19,SD,Mouth,cardboard duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,51,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
20,SD,Mouth,whistle,189,0.0188981101889811,12.0,0.0188981101889811,127,0.16444444444444445,0.0326290446223056,5.872945352200106e-05
21,SD,Mouth,lip bite,28,0.0027997200279972004,3.0,0.0027997200279972004,64,0.16444444444444445,0.0326290446223056,1.2889866342277325e-06
22,SD,Mouth,fangs,87,0.0086991300869913,11.0,0.0086991300869913,100,0.16444444444444445,0.0326290446223056,1.2444311013354217e-05
23,SD,Mouth,brace face,357,0.03569643035696431,14.0,0.03569643035696431,150,0.16444444444444445,0.0326290446223056,0.00020954088972664582
24,SD,Mouth,wavey,360,0.035996400359964,15.0,0.035996400359964,152,0.16444444444444445,0.0326290446223056,0.00021307738239274761
25,SD,Mouth,donny duck mouth,1,9.999000099990002e-05,1.0,9.999000099990002e-05,57,0.16444444444444445,0.0326290446223056,1.6441156048823121e-09
26,SD,Mouth,buck teeth,884,0.08839116088391161,25.0,0.08839116088391161,213,0.16444444444444445,0.0326290446223056,0.001284804004128912
27,SD,Mouth,mega phone,31,0.0030996900309969004,5.0,0.0030996900309969004,70,0.16444444444444445,0.0326290446223056,1.5799950962919019e-06
28,SD,Mouth,hard l,30,0.0029997000299970002,4.0,0.0029997000299970002,67,0.16444444444444445,0.0326290446223056,1.4797040443940809e-06
29,SD,Mouth,caveduck,772,0.0771922807719228,23.0,0.0771922807719228,205,0.16444444444444445,0.0326290446223056,0.0009798665946601798
