,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,DOGGY,Earring,triple spike earring,98,0.042534722222222224,4.0,0.0098,40,0.05181347150259067,0.0804156846634534,2.1597941853770868e-05
1,DOGGY,Earring,spike piercing,247,0.1072048611111111,7.0,0.0247,116,0.05181347150259067,0.0804156846634534,0.00013720000359815772
2,DOGGY,Earring,diamond earring,80,0.034722222222222224,2.0,0.008,27,0.05181347150259067,0.0804156846634534,1.4392630972941853e-05
3,DOGGY,Earring,tube piercing,202,0.0876736111111111,6.0,0.0202,88,0.05181347150259067,0.0804156846634534,9.176201784686238e-05
4,DOGGY,Earring,ruby earring,573,0.24869791666666666,9.0,0.0573,164,0.05181347150259067,0.0804156846634534,0.0007383622085492226
5,DOGGY,Earring,silver piercing,573,0.24869791666666666,9.0,0.0573,165,0.05181347150259067,0.0804156846634534,0.0007383622085492226
6,DOGGY,Earring,triple gold earring,29,0.012586805555555556,1.0,0.0029,22,0.05181347150259067,0.0804156846634534,1.89128166378814e-06
7,DOGGY,Earring,triple ruby earring,260,0.11284722222222222,8.0,0.026,119,0.05181347150259067,0.0804156846634534,0.0001520221646516983
8,DOGGY,Earring,triple gold piercing,90,0.0390625,3.0,0.009,30,0.05181347150259067,0.0804156846634534,1.8215673575129532e-05
9,DOGGY,Earring,gold earring,152,0.06597222222222222,5.0,0.0152,54,0.05181347150259067,0.0804156846634534,5.195739781232009e-05
10,DOGGY,Hats,turban,263,0.03342228999872919,25.0,0.0263,120,0.19689119170984457,0.012277326346507246,0.00017306858354782358
11,DOGGY,Hats,slouch hat,168,0.02134959969500572,14.0,0.0168,68,0.19689119170984457,0.012277326346507246,7.06196085248272e-05
12,DOGGY,Hats,straw hat,396,0.050324056423942054,38.0,0.0396,151,0.19689119170984457,0.012277326346507246,0.000392371192262943
13,DOGGY,Hats,miner helmet,243,0.030880670987418986,24.0,0.0243,113,0.19689119170984457,0.012277326346507246,0.00014774721030975487
14,DOGGY,Hats,tophat,282,0.035836828059473885,31.0,0.0282,128,0.19689119170984457,0.012277326346507246,0.0001989779531012032
15,DOGGY,Hats,mohawk hair,141,0.017918414029736943,9.0,0.0141,49,0.19689119170984457,0.012277326346507246,4.97444882753008e-05
16,DOGGY,Hats,doge cap,328,0.041682551785487354,36.0,0.0328,135,0.19689119170984457,0.012277326346507246,0.0002691872152613028
17,DOGGY,Hats,ashigaru hat,109,0.013851823611640616,6.0,0.0109,46,0.19689119170984457,0.012277326346507246,2.9727592434930274e-05
18,DOGGY,Hats,unicorn horn,147,0.018680899733130005,10.0,0.0147,50,0.19689119170984457,0.012277326346507246,5.406813777682083e-05
19,DOGGY,Hats,fox mask,215,0.0273224043715847,16.0,0.0215,93,0.19689119170984457,0.012277326346507246,0.00011566012627764092
20,DOGGY,Hats,nerdy hair,303,0.0385055280213496,34.0,0.0303,131,0.19689119170984457,0.012277326346507246,0.00022971639877607218
21,DOGGY,Hats,alpine hat,157,0.019951709238785108,13.0,0.0157,57,0.19689119170984457,0.012277326346507246,6.167455819616164e-05
22,DOGGY,Hats,propeller hat,236,0.029991104333460413,23.0,0.0236,109,0.19689119170984457,0.012277326346507246,0.00013935762884065956
23,DOGGY,Hats,samurai helmet,14,0.0017791333079171432,2.0,0.0014,9,0.19689119170984457,0.012277326346507246,4.904139480890779e-07
24,DOGGY,Hats,newsboy,232,0.029482780531198374,22.0,0.0232,107,0.19689119170984457,0.012277326346507246,0.00013467367521401288
25,DOGGY,Hats,baseball cap,229,0.029101537679501844,20.0,0.0229,104,0.19689119170984457,0.012277326346507246,0.00013121325434560884
26,DOGGY,Hats,trapper hat,221,0.02808489007497776,17.0,0.0221,97,0.19689119170984457,0.012277326346507246,0.0001222056512174421
27,DOGGY,Hats,sailor hat,231,0.029355699580632864,21.0,0.0231,106,0.19689119170984457,0.012277326346507246,0.00013351519736725143
28,DOGGY,Hats,pickelhaube,225,0.0285932138772398,18.0,0.0225,100,0.19689119170984457,0.012277326346507246,0.0001266694189898447
29,DOGGY,Hats,emo hair,148,0.018807980683695515,11.0,0.0148,51,0.19689119170984457,0.012277326346507246,5.48062608109345e-05
30,DOGGY,Hats,crown,17,0.0021603761596136737,4.0,0.0017,14,0.19689119170984457,0.012277326346507246,7.231103622333851e-07
31,DOGGY,Hats,spike hair,312,0.03964925657643919,35.0,0.0312,134,0.19689119170984457,0.012277326346507246,0.00024356558858562848
32,DOGGY,Hats,stuntman helmet,275,0.034947261405515316,28.0,0.0275,124,0.19689119170984457,0.012277326346507246,0.00018922221849100262
33,DOGGY,Hats,beret,94,0.011945609353157962,5.0,0.0094,33,0.19689119170984457,0.012277326346507246,2.2108661455689245e-05
34,DOGGY,Hats,cowboy hat,9,0.001143728555089592,1.0,0.0009,4,0.19689119170984457,0.012277326346507246,2.0267107038375155e-07
35,DOGGY,Hats,demon horn,15,0.0019062142584826535,3.0,0.0015,10,0.19689119170984457,0.012277326346507246,5.62975195510421e-07
36,DOGGY,Hats,sleeper cap,374,0.04752827551150082,37.0,0.0374,143,0.19689119170984457,0.012277326346507246,0.00034998541532095843
37,DOGGY,Hats,popstar hair,171,0.02173084254670225,15.0,0.0171,72,0.19689119170984457,0.012277326346507246,7.316425640853432e-05
38,DOGGY,Hats,helmet,277,0.035201423306646336,29.0,0.0277,126,0.19689119170984457,0.012277326346507246,0.00019198455011697375
39,DOGGY,Hats,bucket hat,226,0.02872029482780531,19.0,0.0226,101,0.19689119170984457,0.012277326346507246,0.0001277978714928456
40,DOGGY,Hats,wizard hat,151,0.019189223535392045,12.0,0.0151,52,0.19689119170984457,0.012277326346507246,5.705065525703604e-05
41,DOGGY,Hats,army hat,138,0.017537171178040413,8.0,0.0138,48,0.19689119170984457,0.012277326346507246,4.7650220548002034e-05
42,DOGGY,Hats,plumber hat,273,0.03469309950438429,27.0,0.0273,123,0.19689119170984457,0.012277326346507246,0.00018647990376087183
43,DOGGY,Hats,flatcap,285,0.036218070911170415,32.0,0.0285,129,0.19689119170984457,0.012277326346507246,0.00020323404557926196
