,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,SEVENS,Mask,mascot - uwu cat,316,0.04541534923828686,44.0,0.045149307043863406,144,0.2983425414364641,0.012310270853911417,0.0006117428925538115
1,SEVENS,Mask,sevens japanese mask,396,0.05691290600747341,45.0,0.05657951135876554,151,0.2983425414364641,0.012310270853911417,0.0009606941339400588
2,SEVENS,Mask,mascot - joyful cat,65,0.00934176487496407,4.0,0.00928704100585798,16,0.2983425414364641,0.012310270853911417,2.5883409319819083e-05
3,SEVENS,Mask,mecha bird - seagull,79,0.011353837309571716,9.0,0.011287326760965851,28,0.2983425414364641,0.012310270853911417,3.823393078461322e-05
4,SEVENS,Mask,akuma half mask - black,124,0.017821212992239148,22.0,0.0177168166880983,47,0.2983425414364641,0.012310270853911417,9.41972311719617e-05
5,SEVENS,Mask,astronaut helmet - nanatsume,1,0.00014371945961483184,1.0,0.00014287755393627662,4,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
6,SEVENS,Mask,lion - fire mustache,89,0.012791031905720035,11.0,0.012716102300328618,32,0.2983425414364641,0.012310270853911417,4.852603200527501e-05
7,SEVENS,Mask,red-eyed owl,234,0.03363035354987065,38.0,0.033433347621088724,126,0.2983425414364641,0.012310270853911417,0.00033544898478485524
8,SEVENS,Mask,scarred skull,293,0.04210980166714573,43.0,0.041863123303329045,138,0.2983425414364641,0.012310270853911417,0.0005259324986265439
9,SEVENS,Mask,astronaut helmet - itsutsume,1,0.00014371945961483184,1.0,0.00014287755393627662,6,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
10,SEVENS,Mask,motorcycle helmet - black,240,0.03449267030755964,40.0,0.03429061294470639,129,0.2983425414364641,0.012310270853911417,0.00035287204185126134
11,SEVENS,Mask,full face mask - red stop,115,0.016527737855705663,18.0,0.01643091870267181,40,0.2983425414364641,0.012310270853911417,8.101966585907865e-05
12,SEVENS,Mask,beak mask - metal,210,0.030181086519114688,36.0,0.03000428632661809,118,0.2983425414364641,0.012310270853911417,0.00027016765704237193
13,SEVENS,Mask,kintsugi skull,81,0.01164127622880138,10.0,0.011573081868838405,30,0.2983425414364641,0.012310270853911417,4.019433101712023e-05
14,SEVENS,Mask,astronaut helmet - muttsume,1,0.00014371945961483184,1.0,0.00014287755393627662,2,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
15,SEVENS,Mask,akuma half mask - white,121,0.017390054613394653,20.0,0.01728818402628947,44,0.2983425414364641,0.012310270853911417,8.969443688792216e-05
16,SEVENS,Mask,kaiju mecha mask - 07,109,0.01566542109801667,16.0,0.01557365337905415,38,0.2983425414364641,0.012310270853911417,7.278598488254923e-05
17,SEVENS,Mask,game helmet - silhouette,176,0.025294624892210404,34.0,0.025146449492784682,93,0.2983425414364641,0.012310270853911417,0.00018976674250667828
18,SEVENS,Mask,painted black mask,171,0.024576027594136247,33.0,0.0244320617231033,90,0.2983425414364641,0.012310270853911417,0.00017913769749605438
19,SEVENS,Mask,emoticon owl,123,0.01767749353262432,21.0,0.017573939134162022,45,0.2983425414364641,0.012310270853911417,9.268404724249535e-05
20,SEVENS,Mask,astronaut helmet - hitotsume,1,0.00014371945961483184,1.0,0.00014287755393627662,3,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
21,SEVENS,Mask,full face mask - x,114,0.01638401839609083,17.0,0.016288041148735534,39,0.2983425414364641,0.012310270853911417,7.961675444269083e-05
22,SEVENS,Mask,hype black mask,262,0.03765449841908594,42.0,0.03743391913130447,136,0.2983425414364641,0.012310270853911417,0.00042053035487565936
23,SEVENS,Mask,fox mask - sealed,70,0.01006036217303823,6.0,0.010001428775539363,22,0.2983425414364641,0.012310270853911417,3.001862856026355e-05
24,SEVENS,Mask,beak mask - darkened,163,0.023426271917217592,30.0,0.023289041291613088,70,0.2983425414364641,0.012310270853911417,0.00016276835555462089
25,SEVENS,Mask,petrified skull,238,0.03420523138832998,39.0,0.03400485783683383,128,0.2983425414364641,0.012310270853911417,0.00034701534615664664
26,SEVENS,Mask,elder skull,139,0.019977004886461626,25.0,0.01985997999714245,57,0.2983425414364641,0.012310270853911417,0.00011836529028833713
27,SEVENS,Mask,led japanese mask,149,0.021414199482609947,29.0,0.021288755536505215,65,0.2983425414364641,0.012310270853911417,0.00013600889238090023
28,SEVENS,Mask,full face mask - ???,75,0.010778959471112388,8.0,0.010715816545220747,25,0.2983425414364641,0.012310270853911417,3.446016033703724e-05
29,SEVENS,Mask,motorcycle helmet - white,102,0.01465938488071285,15.0,0.014573510501500214,37,0.2983425414364641,0.012310270853911417,6.373751255938409e-05
30,SEVENS,Mask,mascot - shiba inu,170,0.024432308134521415,32.0,0.024289184169167023,87,0.2983425414364641,0.012310270853911417,0.00017704864599828909
31,SEVENS,Mask,lightning mask,180,0.025869502730669732,35.0,0.02571795970852979,97,0.2983425414364641,0.012310270853911417,0.00019849052354133448
32,SEVENS,Mask,mecha bird - red-eyed crow,75,0.010778959471112388,8.0,0.010715816545220747,26,0.2983425414364641,0.012310270853911417,3.446016033703724e-05
33,SEVENS,Mask,fox mask - led scarred,144,0.020695602184535786,27.0,0.020574367766823833,59,0.2983425414364641,0.012310270853911417,0.00012703393506645406
34,SEVENS,Mask,demon fire mask,66,0.009485484334578902,5.0,0.009429918559794257,17,0.2983425414364641,0.012310270853911417,2.6685948165001638e-05
35,SEVENS,Mask,kaiju mecha mask - black,92,0.01322219028456453,12.0,0.013144734962137448,33,0.2983425414364641,0.012310270853911417,5.185258614981034e-05
36,SEVENS,Mask,fox mask - kintsugi,73,0.010491520551882724,7.0,0.010430061437348193,24,0.2983425414364641,0.012310270853911417,3.264679012196826e-05
37,SEVENS,Mask,golden chain skull,27,0.0038804254096004597,2.0,0.0038576939562794685,12,0.2983425414364641,0.012310270853911417,4.466036779680026e-06
38,SEVENS,Mask,beak mask - gold,49,0.007042253521126761,3.0,0.007001000142877554,15,0.2983425414364641,0.012310270853911417,1.4709127994529139e-05
39,SEVENS,Mask,motorcycle helmet - roughed,224,0.03219315895372234,37.0,0.03200457208172596,123,0.2983425414364641,0.012310270853911417,0.0003073907564570988
40,SEVENS,Mask,fox mask - emoticon,120,0.01724633515377982,19.0,0.017145306472353194,43,0.2983425414364641,0.012310270853911417,8.821801046281534e-05
41,SEVENS,Mask,astronaut helmet - futatsume,1,0.00014371945961483184,1.0,0.00014287755393627662,1,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
42,SEVENS,Mask,full mask,143,0.020551882724920954,26.0,0.020431490212887555,58,0.2983425414364641,0.012310270853911417,0.00012527570110792434
43,SEVENS,Mask,astronaut helmet - yottsume,1,0.00014371945961483184,1.0,0.00014287755393627662,7,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
44,SEVENS,Mask,painted lion mask,97,0.013940787582638689,13.0,0.013859122731818831,34,0.2983425414364641,0.012310270853911417,5.76418930864326e-05
45,SEVENS,Mask,game helmet - shiba inu,176,0.025294624892210404,34.0,0.025146449492784682,92,0.2983425414364641,0.012310270853911417,0.00018976674250667828
46,SEVENS,Mask,astronaut helmet - mittsume,1,0.00014371945961483184,1.0,0.00014287755393627662,5,0.2983425414364641,0.012310270853911417,6.126250726584397e-09
47,SEVENS,Mask,lion - fire breath,100,0.014371945961483185,14.0,0.014287755393627661,36,0.2983425414364641,0.012310270853911417,6.126250726584398e-05
48,SEVENS,Mask,full face mask - double line,147,0.02112676056338028,28.0,0.02100300042863266,62,0.2983425414364641,0.012310270853911417,0.00013238215195076223
49,SEVENS,Mask,fox mask - scarred,127,0.018252371371083646,23.0,0.01814544934990713,51,0.2983425414364641,0.012310270853911417,9.881029796907976e-05
50,SEVENS,Mask,hype red mask,258,0.03707962058062662,41.0,0.036862408915559364,135,0.2983425414364641,0.012310270853911417,0.00040778775336436384
