,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,DAD,Dad Joke,"""mountains aren't just funny. they're hill areas.""",66,0.0066,9.0,0.006600660066006601,209,0.26789366053169733,0.0018155230015097935,1.1670614914252162e-05
1,DAD,Dad Joke,"""did you hear about the guy who invented the knock-knock joke? he won the 'no-bell' prize.""",98,0.0098,39.0,0.0098009800980098,382,0.26789366053169733,0.0018155230015097935,2.573108026549076e-05
2,DAD,Dad Joke,"""singing in the shower is fun until you get soap in your mouth. then it's a soap opera.""",58,0.0058,3.0,0.0058005800580058,177,0.26789366053169733,0.0018155230015097935,9.012844024688766e-06
3,DAD,Dad Joke,"""why did the scarecrow win an award? because he was outstanding in his field.""",77,0.0077,19.0,0.007700770077007701,281,0.26789366053169733,0.0018155230015097935,1.5885003633287665e-05
4,DAD,Dad Joke,"""i thought the dryer was shrinking my clothes. turns out it was the refrigerator all along.""",68,0.0068,11.0,0.006800680068006801,219,0.26789366053169733,0.0018155230015097935,1.23886417271584e-05
5,DAD,Dad Joke,"""if you see a crime happen at the apple store, what does it make you?"" ""an iwitness.""",82,0.0082,24.0,0.008200820082008202,326,0.26789366053169733,0.0018155230015097935,1.801497123127446e-05
6,DAD,Dad Joke,"""a cheeseburger walks into a bar. the bartender says, 'sorry, we don't serve food here.'""",68,0.0068,11.0,0.006800680068006801,215,0.26789366053169733,0.0018155230015097935,1.23886417271584e-05
7,DAD,Dad Joke,"""i made a pencil with two erasers. it was pointless.""",81,0.0081,23.0,0.008100810081008101,314,0.26789366053169733,0.0018155230015097935,1.757826089357402e-05
8,DAD,Dad Joke,"""what did one hat say to the other?"" ""stay here! i'm going on ahead.""",98,0.0098,39.0,0.0098009800980098,380,0.26789366053169733,0.0018155230015097935,2.573108026549076e-05
9,DAD,Dad Joke,"""where do fruits go on vacation?"" ""pear-is!""",82,0.0082,24.0,0.008200820082008202,322,0.26789366053169733,0.0018155230015097935,1.801497123127446e-05
10,DAD,Dad Joke,"""how can you tell if a tree is a dogwood tree?"" ""by its bark.""",87,0.0087,29.0,0.0087008700870087,346,0.26789366053169733,0.0018155230015097935,2.0278899055549722e-05
11,DAD,Dad Joke,"""how does a taco say grace?"" ""lettuce pray.""",93,0.0093,35.0,0.0093009300930093,370,0.26789366053169733,0.0018155230015097935,2.3172439943380836e-05
