,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,HMNDS,Head,fez,173,0.02053168763351531,29.0,0.0173,52,0.39473684210526316,0.0069556620666766855,0.00014020981423413744
1,HMNDS,Head,dorag,108,0.012817469736529788,11.0,0.0108,26,0.39473684210526316,0.0069556620666766855,5.464289729783752e-05
2,HMNDS,Head,dreads blue,198,0.02349869451697128,40.0,0.0198,68,0.39473684210526316,0.0069556620666766855,0.00018366084925106502
3,HMNDS,Head,cap backwards grey,118,0.014004272489912177,18.0,0.0118,36,0.39473684210526316,0.0069556620666766855,6.523042712406462e-05
4,HMNDS,Head,hard hat,102,0.012105388084500356,8.0,0.0102,20,0.39473684210526316,0.0069556620666766855,4.8740115182330387e-05
5,HMNDS,Head,bucket hat purple,98,0.011630666983147402,6.0,0.0098,18,0.39473684210526316,0.0069556620666766855,4.499231701375442e-05
6,HMNDS,Head,crown,226,0.026821742226441965,45.0,0.0226,75,0.39473684210526316,0.0069556620666766855,0.00023927817407273227
7,HMNDS,Head,stringy hair purple,115,0.01364823166389746,15.0,0.0115,32,0.39473684210526316,0.0069556620666766855,6.195578847427136e-05
8,HMNDS,Head,cap flipped brim,125,0.014835034417279848,21.0,0.0125,39,0.39473684210526316,0.0069556620666766855,7.319918297999925e-05
9,HMNDS,Head,dreads white,177,0.021006408734868264,31.0,0.0177,54,0.39473684210526316,0.0069556620666766855,0.00014676846102914536
10,HMNDS,Head,beanie orange,4,0.00047472110135295516,3.0,0.0004,10,0.39473684210526316,0.0069556620666766855,7.495596337151924e-08
11,HMNDS,Head,spikes blue,224,0.02658438167576549,44.0,0.0224,74,0.39473684210526316,0.0069556620666766855,0.0002350619011330843
12,HMNDS,Head,slickback hair white,184,0.021837170662235936,34.0,0.0184,59,0.39473684210526316,0.0069556620666766855,0.00015860681849413468
13,HMNDS,Head,mohawk purple,180,0.02136244956088298,32.0,0.018,55,0.39473684210526316,0.0069556620666766855,0.00015178582582732646
14,HMNDS,Head,dreads purple,148,0.01756468075005934,25.0,0.0148,45,0.39473684210526316,0.0069556620666766855,0.00010261471385560983
