,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,WOW,Background,blue green,924,0.0924,8.0,0.0924,169,0.0582010582010582,0.0031491570431854653,0.0004969066666666665
1,WOW,Background,soft purple,983,0.0983,9.0,0.0983,174,0.0582010582010582,0.0031491570431854653,0.0005623904232804233
2,WOW,Background,dark purple,876,0.0876,2.0,0.0876,160,0.0582010582010582,0.0031491570431854653,0.00044662095238095237
3,WOW,Background,yellow pink,896,0.0896,3.0,0.0896,163,0.0582010582010582,0.0031491570431854653,0.00046724740740740735
4,WOW,Background,purple pink,905,0.0905,4.0,0.0905,164,0.0582010582010582,0.0031491570431854653,0.00047668121693121687
5,WOW,Background,pink pastel,849,0.0849,1.0,0.0849,157,0.0582010582010582,0.0031491570431854653,0.0004195138095238095
6,WOW,Background,dark emerald,924,0.0924,8.0,0.0924,170,0.0582010582010582,0.0031491570431854653,0.0004969066666666665
7,WOW,Background,green purple,905,0.0905,4.0,0.0905,165,0.0582010582010582,0.0031491570431854653,0.00047668121693121687
8,WOW,Background,green orange,907,0.0907,5.0,0.0907,166,0.0582010582010582,0.0031491570431854653,0.00047879042328042334
9,WOW,Background,red turquoise,914,0.0914,6.0,0.0914,167,0.0582010582010582,0.0031491570431854653,0.0004862093121693121
10,WOW,Background,orange yellow,917,0.0917,7.0,0.0917,168,0.0582010582010582,0.0031491570431854653,0.0004894062962962963
11,WOW,Clothes,steampunk octopus top,186,0.0186,5.0,0.0186,32,0.14285714285714285,0.016360072175611598,4.942285714285713e-05
12,WOW,Clothes,70s shirt,421,0.0421,17.0,0.0421,94,0.14285714285714285,0.016360072175611598,0.00025320142857142855
13,WOW,Clothes,tuxedo,100,0.01,2.0,0.01,13,0.14285714285714285,0.016360072175611598,1.4285714285714285e-05
14,WOW,Clothes,freedom is power tee,368,0.0368,10.0,0.0368,65,0.14285714285714285,0.016360072175611598,0.00019346285714285714
15,WOW,Clothes,cherry tee,590,0.059,27.0,0.059,130,0.14285714285714285,0.016360072175611598,0.0004972857142857142
16,WOW,Clothes,cabaret corset,535,0.0535,21.0,0.0535,116,0.14285714285714285,0.016360072175611598,0.00040889285714285707
