,Symbol,Attribute,Trait,Count,Trait_Frequency,Trait_Rank,Overall_Frequency,Overall_Rank,Attribute_Frequency,Attribute_std_dev,Rarity_Score
0,DEADFELLAZ,Nose,nose skull,2473,0.2473,7.0,0.2473742122636791,118,0.0592592592592592,0.0990791350386144,0.0036252232706849
1,DEADFELLAZ,Nose,ring,1,0.0001,1.0,0.0001000300090027,2,0.0592592592592592,0.0990791350386144,5.927704237197085e-10
2,DEADFELLAZ,Nose,nose normal,2052,0.2052,6.0,0.205261578473542,117,0.0592592592592592,0.0990791350386144,0.0024959807942382
3,DEADFELLAZ,Nose,nose ring,2004,0.2004,5.0,0.2004601380414124,116,0.0592592592592592,0.0990791350386144,0.0023805755059851
4,DEADFELLAZ,Nose,normal,2,0.0002,2.0,0.0002000600180054,6,0.0592592592592592,0.0990791350386144,2.371081694878834e-09
5,DEADFELLAZ,Nose,skull,1,0.0001,1.0,0.0001000300090027,4,0.0592592592592592,0.0990791350386144,5.927704237197085e-10
6,DEADFELLAZ,Nose,nose broken,1713,0.1713,3.0,0.1713514054216265,114,0.0592592592592592,0.0990791350386144,0.0017394071554799
7,DEADFELLAZ,Nose,nose bleeding,1754,0.1754,4.0,0.1754526357907372,115,0.0592592592592592,0.0990791350386144,0.0018236676929004
8,DEADFELLAZ,Head,mullet,326,0.0326,10.0,0.0326097829348804,61,0.2222222222222222,0.0019327585352432,0.0002362397608171
9,DEADFELLAZ,Head,bowlcut,343,0.0343,17.0,0.0343102930879263,68,0.2222222222222222,0.0019327585352432,0.0002615206784257
10,DEADFELLAZ,Head,side shave,364,0.0364,26.0,0.036410923276983,79,0.2222222222222222,0.0019327585352432,0.0002945239127293
11,DEADFELLAZ,Head,beret,330,0.033,11.0,0.0330099029708912,62,0.2222222222222222,0.0019327585352432,0.0002420726217865
12,DEADFELLAZ,Head,box fade,347,0.0347,19.0,0.0347104131239371,71,0.2222222222222222,0.0019327585352432,0.0002676558523112
13,DEADFELLAZ,Head,dreads,314,0.0314,6.0,0.031409422826848,57,0.2222222222222222,0.0019327585352432,0.000219167972614
14,DEADFELLAZ,Head,space buns,346,0.0346,18.0,0.0346103831149344,70,0.2222222222222222,0.0019327585352432,0.0002661153901726
15,DEADFELLAZ,Head,ramona,302,0.0302,1.0,0.0302090627188156,50,0.2222222222222222,0.0019327585352432,0.0002027363764684
16,DEADFELLAZ,Head,golf cap,340,0.034,15.0,0.0340102030609182,66,0.2222222222222222,0.0019327585352432,0.0002569659786824
17,DEADFELLAZ,Head,spiked,357,0.0357,23.0,0.0357107132139641,75,0.2222222222222222,0.0019327585352432,0.0002833049914974
18,DEADFELLAZ,Head,bouffant,361,0.0361,25.0,0.0361108332499749,78,0.2222222222222222,0.0019327585352432,0.0002896891289609
19,DEADFELLAZ,Head,mohawk,339,0.0339,14.0,0.0339101730519155,65,0.2222222222222222,0.0019327585352432,0.000255456636991
20,DEADFELLAZ,Head,betty,353,0.0353,22.0,0.0353105931779533,74,0.2222222222222222,0.0019327585352432,0.0002769919864848
21,DEADFELLAZ,Head,high slick,324,0.0324,9.0,0.032409722916875,60,0.2222222222222222,0.0019327585352432,0.0002333500050015
22,DEADFELLAZ,Head,headscarf,306,0.0306,3.0,0.0306091827548264,53,0.2222222222222222,0.0019327585352432,0.0002081424427328
23,DEADFELLAZ,Head,top knot,321,0.0321,8.0,0.0321096328898669,59,0.2222222222222222,0.0019327585352432,0.0002290487146143
24,DEADFELLAZ,Head,orange bucket,348,0.0348,20.0,0.0348104431329398,72,0.2222222222222222,0.0019327585352432,0.000269200760228
25,DEADFELLAZ,Head,black cap,361,0.0361,25.0,0.0361108332499749,77,0.2222222222222222,0.0019327585352432,0.0002896891289609
26,DEADFELLAZ,Head,red cap,350,0.035,21.0,0.0350105031509452,73,0.2222222222222222,0.0019327585352432,0.0002723039133962
